epoch	duration_s	build	game_id	status	peak_cpu_pct	peak_ram_mb	peak_temp	avg_temp	crash_sig	fence_at_crash	shaders_harvested	drain_pct	thermal_overrides
1779399162	0	FULL	NPUA80075	RECOVERY:Adreno	0	0	0	0	GPU_FENCE_TIMEOUT	272	0	0	0
1779399320	0	FULL	NPUA80075	RECOVERY:Adreno	0	0	0	0	GPU_FENCE_TIMEOUT	433	0	0	0
1779399475	0	FULL	NPUA80075	RECOVERY:Adreno	0	0	0	0	GPU_FENCE_TIMEOUT	123	0	0	0
1779399617	75	FULL	NPEA90002	RECOVERY:Adreno	0	0	0	0	GPU_FENCE_TIMEOUT	123	0	-1	0
1779399720	64	FULL	NPUA80075	RECOVERY:Adreno	0	0	0	0	GPU_FENCE_TIMEOUT	123	0	-1	0
1779399834	2	FULL	NPUA80075	RECOVERY:Adreno	0	0	0	0	GPU_FENCE_TIMEOUT	123	0	0	0
1779400453	160	FULL	NPUA80075	RECOVERY:Adreno	100	5326	70	61	GPU_FENCE_TIMEOUT	123	0	-2	0
1779400594	113	FULL	NPUA80075	RECOVERY:Adreno	100	7108	74	65	GPU_FENCE_TIMEOUT	1243	0	-2	0
1779400754	70	FULL	NPUA80075	RECOVERY:Adreno	100	5150	72	55	GPU_FENCE_TIMEOUT	124	0	0	0
1779400832	70	FULL	NPUA80075	RECOVERY:Adreno	100	5251	72	57	GPU_FENCE_TIMEOUT	205	0	-1	0
1779400892	16	FULL	NPUA80075	CLEAN	20	1270	44	44		0	0	0	0
1779401194	134	FULL	NPUA80075	CLEAN	100	5707	72	61		0	0	-1	0
1779401454	95	FULL	NPUA80075	RECOVERY:Adreno	100	5587	70	56	GPU_FENCE_TIMEOUT	586	0	-2	0
1779401715	174	FULL	NPUA80075	CLEAN	100	5972	73	64		0	0	-2	0
1779402139	160	FULL	NPUA80075	RECOVERY:Adreno	100	6618	68	62	GPU_FENCE_TIMEOUT	50775	0	-2	0
1779402455	269	FULL	NPUA80075	RECOVERY:Adreno	100	6822	72	66	GPU_FENCE_TIMEOUT	87010	0	-4	0
1779402596	83	FULL	NPUA80075	CLEAN	100	6241	75	65		0	0	-1	0
1779405073	211	FULL	NPUA80075	CLEAN	100	6107	72	63		0	0	-2	0
1779405421	262	FULL	NPUA80075	RECOVERY:Adreno	100	6730	74	66	GPU_FENCE_TIMEOUT	34830	0	-4	0
1779405595	116	FULL	NPUA80075	RECOVERY:Adreno	100	6508	72	60	GPU_FENCE_TIMEOUT	12246	0	-1	0
1779405833	222	FULL	NPUA80075	RECOVERY:Adreno	100	6627	75	68	GPU_FENCE_TIMEOUT	41421	0	-3	0
1779405848	3	FULL	NPUA80075	CLEAN	56	2919	46	46		0	0	0	0
1779406169	269	FULL	NPUA80075	RECOVERY:Adreno	100	6951	74	67	GPU_FENCE_TIMEOUT	36447	0	-4	0
1779406430	185	FULL	NPUA80075	RECOVERY:Adreno	100	6747	78	65	GPU_FENCE_TIMEOUT	22591	0	-2	0
1779406665	192	FULL	NPUA80075	RECOVERY:Adreno	100	6787	73	66	GPU_FENCE_TIMEOUT	22596	0	-3	0
1779406947	239	FULL	NPUA80075	RECOVERY:Adreno	100	6940	76	67	GPU_FENCE_TIMEOUT	29590	0	-3	0
1779407153	141	FULL	NPUA80075	RECOVERY:Adreno	100	5910	77	64	GPU_FENCE_TIMEOUT	14948	0	-2	0
1779407591	178	FULL	NPUA80075	RECOVERY:Adreno	100	6733	69	62	GPU_FENCE_TIMEOUT	29383	0	-3	0
1779407807	175	FULL	NPUA80075	RECOVERY:Adreno	100	6704	75	65	GPU_FENCE_TIMEOUT	19606	0	-2	0
1779408180	311	FULL	NPUA80075	CLEAN	100	6116	76	70		0	0	-5	0
1779408450	220	FULL	NPUA80075	RECOVERY:Adreno	100	6127	77	68	GPU_FENCE_TIMEOUT	26385	0	-3	0
1779408801	309	FULL	NPUA80075	CLEAN	100	6161	77	71		0	0	-4	0
1779409042	183	FULL	NPUA80075	RECOVERY:Adreno	100	6667	77	65	GPU_FENCE_TIMEOUT	20920	0	-3	0
1779409362	275	FULL	NPUA80075	RECOVERY:Adreno	100	7026	76	66	GPU_FENCE_TIMEOUT	33814	0	-4	0
