epoch,uptime,cpu0,cluster0,cluster1,cpu7_top,cpu7_bot,gpu_top,mem,gpu_bot,battery,gpu_mhz,silver_mhz,gold_mhz,prime_mhz
1779381863,1268,54,55,57,62,60,44,45,44,28,800,1804,2419,2841
1779381864,1269,52,55,56,63,60,43,45,45,28,800,1804,2419,2841
1779381865,1271,55,56,58,62,61,45,46,45,28,800,1171,2246,2841
1779381866,1272,55,56,58,62,61,43,46,44,28,800,1804,2419,2841
1779381867,1273,54,55,57,64,62,45,46,45,28,800,1804,2246,2841
1779381868,1274,54,57,59,65,64,46,47,46,28,800,1612,2419,2841
1779381869,1275,56,57,59,65,63,46,47,46,28,800,1344,2419,2841
1779381870,1276,57,59,61,62,64,46,48,47,28,800,1171,2419,2841
1779381871,1277,57,59,61,66,64,46,48,46,28,800,1804,2419,2841
1779381872,1278,56,59,61,66,65,47,49,47,28,800,1804,2419,2841
1779381873,1279,56,59,62,66,65,48,49,48,28,800,1804,2419,2841
1779381874,1280,57,59,61,66,64,48,49,47,28,800,1804,2419,2841
1779381876,1281,58,59,62,67,65,48,49,48,28,800,1804,2419,2841
1779381877,1282,57,59,61,66,66,46,49,47,28,800,1804,2419,2841
1779381878,1284,57,59,62,67,66,47,49,48,28,800,1804,2419,2841
1779381879,1285,58,61,63,68,63,47,49,48,28,800,1804,2419,2841
1779381880,1286,56,59,61,68,66,47,49,47,28,800,1804,2419,2841
1779381881,1287,57,59,62,67,66,48,50,48,28,800,1612,2419,2841
1779381882,1288,58,59,61,67,66,48,49,49,28,800,1612,2419,2841
1779381883,1289,57,59,61,66,65,48,49,48,28,800,1708,2419,2841
1779381884,1290,58,60,63,67,66,49,50,48,28,800,1612,2419,2841
1779381885,1291,58,60,62,68,67,48,49,48,28,800,1804,2419,2841
1779381886,1292,58,59,62,67,66,48,49,48,28,800,1344,2419,2841
1779381888,1293,58,60,63,68,66,46,49,48,28,800,1804,2419,2841
1779381889,1294,57,60,61,67,65,46,49,48,28,800,1804,2419,2841
1779381890,1296,58,61,63,68,67,47,50,48,28,800,1516,2419,2841
1779381891,1297,59,60,62,68,67,47,50,49,28,800,1804,2246,2841
1779381892,1298,58,60,62,68,66,48,50,49,28,800,1420,2342,2841
1779381893,1299,59,61,62,68,67,49,50,49,28,800,1612,2419,2841
1779381894,1300,59,61,63,68,67,46,50,49,28,800,1804,2419,2841
1779381895,1301,59,61,64,69,67,48,50,48,28,800,1171,2419,2841
1779381896,1302,59,61,63,68,67,48,50,48,28,800,1708,2419,2841
1779381898,1303,58,61,63,68,67,46,50,49,28,800,1804,2419,2841
1779381899,1304,59,61,62,69,67,48,50,49,28,800,1804,2419,2841
1779381900,1305,58,60,61,68,65,48,50,49,28,800,1804,2419,2841
1779381901,1307,59,61,64,68,67,48,50,49,28,800,1804,2419,2841
1779381902,1308,59,61,62,68,67,49,50,49,28,800,1804,2419,2841
1779381903,1309,59,61,63,68,66,49,50,49,28,800,979,2246,2841
1779381904,1310,59,61,63,69,68,48,50,50,28,800,1804,2419,2841
1779381905,1311,60,62,64,69,67,50,51,50,28,800,1804,2419,2841
1779381906,1312,58,60,62,68,67,49,50,49,28,800,1804,2419,2841
1779381907,1313,60,62,64,69,68,50,50,50,28,800,1804,2419,2841
1779381908,1314,59,61,63,69,66,50,51,49,28,800,1420,2419,2841
1779381910,1315,61,63,64,70,68,48,50,50,28,800,1248,2246,2841
1779381911,1316,59,62,64,68,67,49,51,49,28,800,1075,2419,2841
1779381912,1318,58,61,63,69,67,49,51,49,28,800,1804,2150,2841
1779381913,1319,59,62,63,68,67,48,51,50,28,800,1804,2419,2841
1779381914,1320,59,61,63,68,66,49,51,50,28,800,1612,2419,2841
1779381915,1321,60,61,64,69,68,48,50,50,28,800,1248,2419,2841
