epoch,uptime,cpu0,cluster0,cluster1,cpu7_top,cpu7_bot,gpu_top,mem,gpu_bot,battery,gpu_mhz,silver_mhz,gold_mhz,prime_mhz
1779382767,735,47,49,50,57,56,39,41,40,29,800,1344,1574,2841
1779382768,736,46,48,48,57,55,39,41,40,29,800,1248,1382,2841
1779382769,737,46,49,50,57,56,39,42,40,29,800,1171,1862,2841
1779382770,738,47,50,51,59,57,39,41,40,29,800,1248,2342,2841
1779382771,739,50,52,54,60,59,39,42,41,29,800,1248,2419,2841
1779382772,741,50,52,54,61,60,40,42,41,29,800,1344,2054,2841
1779382773,742,51,54,55,61,59,40,43,42,29,800,1516,2419,2841
1779382774,743,54,56,59,63,63,44,45,44,29,800,1804,2419,2841
1779382775,744,55,58,59,61,61,45,46,45,29,800,1804,2419,2841
1779382776,745,55,57,59,64,62,45,47,45,29,800,1804,2419,2841
1779382777,746,50,52,54,62,61,42,44,43,29,800,1612,2419,2841
1779382779,747,49,51,52,60,59,43,45,44,29,800,1344,1478,2841
1779382780,748,48,50,51,59,58,43,45,44,29,800,1248,1958,2841
1779382781,749,50,52,54,61,60,43,45,44,29,800,1708,1862,2841
1779382782,750,50,52,53,60,59,43,44,43,29,800,1248,1478,2841
1779382783,751,49,51,52,60,59,43,45,45,29,800,1420,2054,2841
1779382784,753,48,51,52,60,59,43,45,44,29,800,1171,2054,2841
1779382785,754,48,51,52,60,59,43,45,44,29,800,1344,1766,2841
1779382786,755,48,50,52,59,58,43,45,44,29,800,1248,1766,2841
1779382787,756,49,52,52,60,59,42,44,43,29,800,1612,1766,2841
1779382788,757,52,53,55,61,60,42,44,44,29,800,1516,2054,2841
1779382789,758,51,53,54,61,60,42,44,43,29,800,1804,2419,2841
1779382791,759,51,53,54,62,60,44,45,43,29,800,1420,2419,2841
1779382792,760,51,53,55,60,59,42,44,43,29,800,1420,1958,2841
1779382793,761,51,53,55,61,61,42,45,44,29,800,1420,2419,2841
1779382794,762,51,52,54,61,61,41,44,43,29,800,1248,2419,2841
1779382795,763,51,54,55,63,61,41,44,42,29,800,1708,2054,2841
1779382796,764,50,53,54,62,60,41,43,42,29,800,1248,2342,2841
1779382797,766,54,55,57,63,61,41,44,42,29,800,1804,2419,2841
1779382798,767,53,54,57,62,60,41,45,43,29,800,1708,2419,2841
1779382799,768,54,56,57,63,62,42,45,43,29,800,1804,2419,2841
1779382800,769,50,52,53,60,59,41,44,42,29,800,1708,2054,2841
1779382801,770,52,54,55,62,61,42,45,44,29,800,1804,2419,2841
1779382802,771,52,54,55,63,61,43,46,45,29,800,1248,2054,2841
1779382804,772,54,56,58,66,64,41,45,43,29,800,1804,2419,2841
1779382805,773,53,55,57,66,64,41,45,42,29,800,1420,2419,2841
1779382806,774,57,58,60,67,65,41,45,43,29,800,1804,2419,2841
1779382807,775,57,58,61,67,66,41,45,43,29,800,1804,2419,2841
1779382808,776,57,58,61,67,66,42,45,43,29,800,1804,2419,2841
1779382809,777,57,58,60,68,66,42,45,44,29,800,1804,2419,2841
1779382810,779,57,58,61,68,66,41,45,44,29,800,1804,2419,2841
1779382811,780,57,58,61,68,66,41,45,44,29,800,1804,2419,2841
1779382812,781,57,59,61,68,66,42,46,44,29,800,1612,2419,2841
1779382813,782,58,59,61,68,66,41,46,44,29,800,1804,2419,2841
1779382814,783,57,59,61,68,66,41,46,44,29,800,1804,2419,2841
1779382815,784,58,59,61,68,66,42,46,44,29,800,1804,2419,2841
1779382817,785,59,59,62,68,66,42,46,44,29,800,1804,2419,2841
1779382818,786,58,59,61,68,66,42,46,44,29,800,1804,2419,2841
1779382819,787,58,60,62,68,66,42,46,44,29,800,1612,2419,2841
1779382820,788,60,61,63,69,67,43,46,44,29,800,1804,2419,2841
1779382821,790,58,59,61,68,67,42,46,44,29,800,1804,2419,2841
1779382822,791,58,59,61,68,66,42,46,44,29,800,1804,2419,2841
1779382823,792,59,60,62,68,66,42,46,44,29,800,1804,2419,2841
1779382824,793,58,60,62,68,67,42,46,44,29,800,1804,2419,2841
1779382825,794,58,59,62,69,66,42,47,44,29,800,1612,2419,2841
1779382826,795,59,59,61,67,65,42,46,44,29,800,1804,2419,2841
1779382828,796,59,59,62,68,66,42,46,44,29,800,1804,2419,2841
1779382829,797,59,60,62,67,66,43,46,44,29,800,1804,2419,2841
1779382830,798,59,60,62,68,66,42,46,44,29,800,1804,2419,2841
1779382831,799,59,60,62,68,66,42,47,44,29,800,1804,2419,2841
1779382832,800,59,60,62,68,66,42,47,44,29,800,1804,2419,2841
1779382833,801,59,60,62,68,66,42,47,45,29,800,1804,2419,2841
1779382834,802,59,60,62,67,66,42,47,44,29,800,1804,2419,2841
