epoch,uptime,cpu0,cluster0,cluster1,cpu7_top,cpu7_bot,gpu_top,mem,gpu_bot,battery,gpu_mhz,silver_mhz,gold_mhz,prime_mhz
1779384423,116,64,67,70,74,73,47,51,49,29,800,1804,2419,2841
1779384424,118,58,59,61,67,66,45,49,47,29,800,1708,2419,2841
1779384425,119,56,57,59,66,64,45,48,46,29,800,1708,2419,2841
1779384426,120,52,54,55,63,61,43,47,45,29,800,1420,2054,2841
1779384427,121,50,52,53,62,61,43,46,44,29,800,1075,1862,2841
1779384428,122,50,52,53,61,60,43,45,44,29,800,1075,2054,2841
1779384429,123,52,53,54,61,61,43,45,44,29,800,1344,1478,2841
1779384430,124,49,52,53,60,59,42,45,44,29,800,1344,2150,2841
1779384431,125,50,52,52,61,59,42,45,44,29,800,1804,1478,2841
1779384433,126,49,51,52,60,59,42,45,43,29,800,1075,1382,2841
1779384434,127,50,51,52,60,59,42,45,43,29,800,1516,1574,2841
1779384435,128,49,51,52,60,59,42,44,43,29,800,1248,1766,2841
1779384436,129,50,51,52,60,59,42,44,43,29,800,1344,1670,2841
1779384437,131,51,54,55,62,61,42,45,44,29,800,1248,1766,2841
1779384438,132,51,53,54,61,60,42,45,44,29,800,1248,2419,2841
1779384439,133,54,55,57,64,63,43,46,44,29,800,1516,2419,2841
1779384440,134,52,54,55,62,58,44,46,44,29,800,1804,2419,2841
1779384441,135,57,59,61,67,65,47,49,47,29,800,1804,2419,2841
1779384442,136,57,60,62,67,67,49,50,48,29,800,1804,2419,2841
1779384443,137,59,60,62,67,67,48,50,49,29,800,1804,2419,2841
1779384444,138,55,57,59,65,63,46,48,47,29,800,1344,1766,2841
1779384446,139,54,56,57,65,63,45,47,46,29,800,1344,1766,2841
1779384447,140,54,55,56,63,61,45,47,45,29,800,1344,1958,2841
1779384448,141,54,56,57,63,62,46,47,45,29,800,1804,2419,2841
1779384449,142,53,55,58,65,64,45,47,46,29,800,1804,2419,2841
1779384450,144,54,57,58,64,61,46,48,46,29,800,1516,2150,2841
1779384451,145,54,55,57,64,63,45,47,46,29,800,1344,2054,2841
1779384452,146,52,54,55,63,61,44,47,45,29,800,1804,1478,2841
1779384453,147,53,55,56,63,62,43,46,44,29,800,1248,1574,2841
1779384454,148,53,55,56,62,59,43,46,44,29,800,1344,2419,2841
1779384455,149,55,57,58,64,63,43,47,45,29,800,1420,2419,2841
1779384456,150,56,57,59,66,63,44,47,45,29,800,1248,2342,2841
1779384457,151,55,56,58,63,60,44,47,45,29,800,1804,2419,2841
1779384458,152,53,55,55,63,62,43,47,45,29,800,1804,2054,2841
1779384460,153,55,57,59,66,63,46,48,47,29,800,1248,2419,2841
1779384461,154,56,58,60,66,66,49,49,49,29,800,1420,2419,2841
1779384462,155,57,59,61,68,66,50,50,50,29,800,1420,2246,2841
1779384463,156,57,59,61,68,66,50,51,50,29,800,1804,2150,2841
1779384464,158,57,59,62,67,67,49,51,50,29,800,1708,2419,2841
1779384465,159,58,59,61,68,65,50,51,50,29,800,1612,2419,2841
1779384466,160,58,60,61,69,67,52,52,50,29,800,1248,2419,2841
1779384467,161,59,61,62,69,67,48,51,49,29,800,1516,2419,2841
1779384468,162,59,60,64,70,69,48,51,50,29,800,1612,2419,2841
1779384469,163,60,62,64,70,69,50,52,50,29,800,1804,2419,2841
1779384471,164,61,63,65,71,69,48,52,50,29,800,1804,1574,2841
1779384472,165,61,61,63,70,69,49,52,50,29,800,1804,2419,2841
1779384473,166,59,63,65,71,70,52,52,52,29,800,1804,2246,2841
1779384474,167,61,63,65,70,70,51,53,52,29,800,1420,2419,2841
1779384475,169,60,64,65,71,70,51,53,52,29,800,1612,2054,2841
1779384476,170,61,63,66,72,70,51,53,52,29,800,1804,2419,2841
1779384477,171,61,63,64,71,70,51,53,51,29,800,1804,2419,2841
1779384478,172,61,64,66,72,70,51,53,51,29,800,1516,2419,2841
1779384479,173,61,64,66,72,71,51,53,52,29,800,1804,1958,2841
1779384480,174,61,63,65,72,70,50,53,52,29,800,1804,2419,2841
1779384481,175,61,64,66,72,71,52,53,52,29,800,1708,2419,2841
1779384483,176,61,64,66,72,70,50,53,51,29,800,1804,2419,2841
1779384484,177,61,63,64,71,70,51,53,51,29,800,1344,2419,2841
1779384485,178,61,64,66,72,71,50,53,52,29,800,1708,2419,2841
1779384486,179,62,64,65,71,70,49,52,51,29,800,1804,2419,2841
1779384487,181,63,65,67,73,72,48,52,51,29,800,1804,2419,2841
1779384488,182,63,65,68,73,72,51,53,51,29,800,1804,2419,2841
1779384489,183,63,64,66,74,72,50,53,52,29,800,1804,2419,2841
1779384490,184,64,65,68,73,72,49,53,51,29,800,1804,2419,2841
1779384491,185,63,65,67,73,72,51,53,52,29,800,1804,2419,2841
1779384492,186,63,66,68,72,71,52,54,51,29,800,1804,2419,2841
1779384493,187,63,65,67,72,71,50,53,52,29,800,1804,2419,2841
1779384494,188,63,64,67,73,72,50,53,51,29,800,1804,2419,2841
1779384496,189,62,64,68,73,72,51,54,52,30,800,1804,2419,2841
1779384497,190,63,65,67,73,72,52,54,52,30,800,1804,2419,2841
1779384498,191,63,65,67,73,72,52,54,52,30,800,1804,2419,2841
1779384499,192,63,66,68,74,72,53,54,52,30,800,1804,2419,2841
1779384500,194,64,66,68,74,72,52,54,53,30,800,1516,2419,2841
1779384501,195,63,65,67,74,72,52,54,52,30,800,1804,2419,2841
1779384502,196,63,65,68,73,72,52,54,52,30,800,1804,2419,2841
1779384503,197,63,65,68,74,72,52,54,53,30,800,1804,2419,2841
1779384504,198,63,66,68,73,72,51,54,53,30,800,1804,2419,2841
1779384505,199,64,67,69,73,72,51,54,53,30,800,1804,2419,2841
1779384506,200,63,64,67,73,72,50,54,52,30,800,1612,2246,2841
1779384508,201,64,66,68,74,73,52,54,53,30,800,1612,2419,2841
1779384509,202,64,67,70,74,73,52,54,53,30,800,1804,2419,2841
1779384510,203,65,67,70,75,74,52,55,54,30,800,1804,2419,2841
1779384511,205,66,69,70,75,74,53,55,54,30,800,1804,2419,2841
1779384512,206,66,68,71,75,74,51,55,53,30,800,1804,2419,2841
1779384513,207,63,66,69,73,72,50,54,53,30,800,1708,2419,2841
1779384514,208,63,65,68,67,66,50,54,52,30,800,1804,2419,2841
1779384515,209,60,61,62,61,61,47,50,49,30,800,1171,2419,2841
1779384517,210,58,60,63,70,68,46,49,47,30,800,1708,2419,2841
1779384518,211,55,57,58,66,64,46,49,47,30,800,1420,1056,2841
1779384519,212,52,54,55,63,62,45,48,46,30,800,1171,1171,2841
