epoch,uptime,cpu0,cluster0,cluster1,cpu7_top,cpu7_bot,gpu_top,mem,gpu_bot,battery,gpu_mhz,silver_mhz,gold_mhz,prime_mhz
1779385232,81,51,52,53,60,59,42,45,44,30,800,1171,1574,2841
1779385233,82,50,52,52,61,59,42,45,44,30,800,1075,1670,2841
1779385234,83,49,51,52,61,59,42,45,43,30,800,1248,1478,2841
1779385235,84,49,51,52,60,59,42,45,43,30,800,1248,1478,2841
1779385236,85,50,52,53,60,59,42,44,43,30,800,1516,1670,2841
1779385237,86,48,50,52,60,59,42,44,43,30,800,1171,2150,2841
1779385238,87,48,51,51,59,58,41,44,43,30,800,1420,1670,2841
1779385239,88,49,50,52,60,59,41,44,43,30,800,1344,1670,2841
1779385240,89,52,54,54,61,60,42,44,43,30,800,1248,1862,2841
1779385241,90,51,52,53,61,59,42,45,43,30,800,1075,1766,2841
1779385242,92,53,54,56,62,61,43,45,44,30,800,1516,1862,2841
1779385244,93,53,55,56,64,62,43,46,45,30,800,1612,1382,2841
1779385245,94,56,58,59,66,64,48,48,46,30,800,1804,2419,2841
1779385246,95,58,61,63,68,66,48,50,49,30,800,1804,2342,2841
1779385247,96,59,60,62,68,68,49,50,49,30,800,1804,2419,2841
1779385248,97,55,56,58,65,62,46,48,46,30,800,1344,2419,2841
1779385249,98,52,55,56,66,64,44,47,45,30,800,1516,2419,2841
1779385250,99,52,54,55,63,59,45,47,45,30,800,1248,1478,2841
1779385251,100,55,56,58,63,62,45,47,46,30,800,1804,2419,2841
1779385252,101,54,56,58,64,59,46,47,46,30,800,1420,1574,2841
1779385253,102,55,57,59,65,64,46,47,46,30,800,1248,1670,2841
1779385254,103,53,56,58,64,63,45,47,46,30,800,1804,2419,2841
1779385256,105,52,54,56,63,62,43,46,45,30,800,1420,2419,2841
1779385257,106,51,53,55,62,61,43,46,44,30,800,1171,1478,2841
1779385258,107,54,55,57,64,62,43,45,44,30,800,1420,2150,2841
1779385259,108,55,57,59,65,64,43,46,45,30,800,1804,2419,2841
1779385260,109,57,58,60,65,64,44,47,45,30,800,1804,2342,2841
1779385261,110,54,57,59,64,64,44,47,45,30,800,1248,2419,2841
1779385262,111,52,54,55,62,61,43,46,45,30,800,1248,1670,2841
1779385263,112,56,57,59,65,63,47,48,47,30,800,1804,2419,2841
1779385264,113,56,58,60,66,65,48,50,49,30,800,1516,2419,2841
1779385265,114,56,59,60,66,63,48,50,49,30,800,1248,2150,2841
1779385266,115,57,59,61,66,64,49,50,50,30,800,1612,2419,2841
1779385267,116,57,59,62,67,64,50,51,50,30,800,1516,2246,2841
1779385269,118,57,59,62,68,66,50,51,50,30,800,1804,2419,2841
1779385270,119,57,59,62,68,66,50,51,50,30,800,1804,2419,2841
1779385271,120,58,62,62,69,68,48,50,48,30,800,1804,2419,2841
1779385272,121,59,63,63,70,68,51,51,50,30,800,1804,2419,2841
1779385273,122,60,62,63,71,69,50,51,50,30,800,1804,2419,2841
1779385274,123,61,64,66,71,70,48,51,50,30,800,1804,2419,2841
1779385275,124,60,62,64,68,67,50,52,50,30,800,1804,2419,2841
1779385276,125,59,62,64,70,69,50,52,51,30,800,1708,2419,2841
1779385277,126,60,62,65,71,70,51,52,52,30,800,1612,2419,2841
1779385278,127,61,64,65,71,69,49,52,51,30,800,1804,2054,2841
1779385279,128,61,62,64,70,69,51,53,52,30,800,1804,2419,2841
1779385281,130,61,63,65,71,69,51,52,52,30,800,1612,2419,2841
1779385282,131,60,63,66,71,70,51,53,52,30,800,1804,2419,2841
1779385283,132,61,63,65,71,70,50,53,51,30,800,1420,2419,2841
1779385284,133,61,63,64,71,70,50,52,52,30,800,1708,2419,2841
1779385285,134,61,63,64,71,70,50,53,52,30,800,1612,2419,2841
1779385286,135,59,63,66,71,70,52,52,51,30,800,1804,2419,2745
1779385287,136,61,64,65,72,70,51,52,51,30,800,1804,2342,2841
1779385288,137,61,63,65,71,70,50,53,51,30,800,1804,2246,2841
1779385289,138,61,63,65,72,71,50,53,52,30,800,1804,2419,2841
1779385290,139,62,64,66,72,71,50,53,52,30,800,1804,2419,2841
1779385291,140,63,64,66,73,71,49,53,51,30,800,1804,2419,2841
1779385293,142,62,64,66,72,71,51,53,52,30,800,1804,2419,2841
1779385294,143,63,65,67,72,71,50,52,52,30,800,1804,2419,2841
1779385295,144,63,64,66,73,71,51,53,52,30,800,1804,1766,2841
1779385296,145,63,64,67,73,71,49,52,50,30,800,1804,2419,2841
1779385297,146,63,64,67,73,70,50,53,52,30,800,1804,2419,2841
1779385298,147,63,65,66,72,71,49,53,52,30,800,1804,2419,2841
1779385299,148,62,65,67,73,72,52,53,51,30,800,1804,2419,2841
1779385300,149,62,64,66,73,72,52,53,52,30,800,1804,2419,2841
1779385301,150,62,64,66,73,72,52,54,52,30,800,1612,2419,2841
1779385302,151,62,63,65,64,64,50,53,51,30,800,1516,2419,2841
1779385304,153,61,62,64,71,70,46,50,49,30,800,1420,2419,2841
1779385305,154,56,58,59,67,65,45,49,47,30,800,1171,2419,2841
1779385306,155,55,57,58,65,64,45,48,46,30,800,1612,2419,2841
1779385307,156,55,57,58,65,64,45,48,45,30,800,1248,2419,2841
1779385308,157,54,56,57,64,63,44,47,45,30,800,1344,2419,2841
1779385309,158,54,55,57,64,63,44,47,45,30,800,1171,2419,2841
1779385310,159,54,55,57,64,63,43,46,45,30,800,1248,2419,2841
1779385311,160,54,55,56,64,63,43,47,45,30,800,1344,2419,2841
1779385312,161,53,55,56,63,63,43,46,44,30,800,1248,2419,2841
1779385313,162,54,55,56,63,62,43,46,44,30,800,1344,2419,2841
1779385314,164,54,55,56,63,62,43,46,44,30,800,1248,2419,2841
1779385316,165,53,55,56,64,63,43,46,44,30,800,979,2419,2841
1779385317,166,55,57,58,65,64,43,46,44,30,800,1344,2419,2841
