epoch,uptime,cpu0,cluster0,cluster1,cpu7_top,cpu7_bot,gpu_top,mem,gpu_bot,battery,gpu_mhz,silver_mhz,gold_mhz,prime_mhz
1779386777,1626,57,59,61,68,66,46,49,47,31,800,1708,2419,2841
1779386778,1627,53,55,56,65,64,45,48,47,31,800,1344,2419,2841
1779386779,1628,52,55,55,64,63,45,48,46,31,800,1612,2419,2841
1779386780,1629,52,55,55,64,61,45,47,46,31,800,1344,2419,2841
1779386781,1630,52,54,55,63,63,44,47,45,31,800,1804,2419,2841
1779386782,1631,52,55,56,65,63,45,47,45,31,800,1516,2419,2841
1779386783,1632,53,54,55,63,62,44,46,45,31,800,1248,2419,2841
1779386784,1633,52,54,55,63,62,44,47,45,31,800,1344,2419,2841
1779386785,1634,52,54,55,63,62,44,47,45,31,800,1516,2419,2841
1779386786,1635,53,55,57,65,63,44,47,45,31,800,1516,2419,2841
1779386787,1636,52,54,54,63,62,44,46,45,31,800,1171,2419,2841
1779386788,1638,54,56,58,66,64,44,47,45,31,800,1804,2419,2841
1779386790,1639,53,55,57,64,63,44,47,45,31,800,1248,2419,2841
1779386791,1640,56,58,60,68,67,45,48,47,31,800,1612,2419,2841
1779386792,1641,58,59,61,66,64,44,48,46,31,800,1804,2419,2841
1779386793,1642,61,63,64,70,69,48,50,49,31,800,1804,2419,2841
1779386794,1643,60,62,64,70,69,48,51,50,31,800,1804,2419,2841
1779386795,1644,59,61,64,70,67,48,51,50,31,800,1804,2419,2841
1779386796,1645,56,58,59,67,66,46,50,48,31,800,1516,2419,2841
1779386797,1646,55,58,59,66,66,46,49,47,31,800,1708,2419,2841
1779386798,1647,55,58,59,67,65,48,49,47,31,800,1075,2419,2841
1779386799,1648,56,59,60,67,66,48,49,47,31,800,1804,2419,2841
1779386800,1649,56,58,60,67,66,48,49,48,31,800,1344,2419,2841
1779386801,1651,57,60,61,68,67,46,49,48,31,800,1516,2419,2841
1779386803,1652,56,58,61,68,67,47,50,48,31,800,1248,2419,2841
1779386804,1653,55,57,59,67,66,46,49,48,31,800,979,2419,2841
1779386805,1654,57,59,61,69,67,46,49,47,31,800,1420,2419,2841
1779386806,1655,56,59,61,68,67,46,49,47,31,800,1804,2419,2841
1779386807,1656,59,61,63,70,68,46,49,48,31,800,1804,2419,2841
1779386808,1657,58,61,63,69,68,46,50,48,31,800,1804,2419,2841
1779386809,1658,57,59,61,70,68,46,49,47,31,800,1708,2419,2841
1779386810,1659,55,57,59,66,65,46,49,48,31,800,1344,2419,2841
1779386811,1660,58,61,63,69,68,50,51,50,31,800,1708,2419,2841
1779386812,1661,59,61,63,68,68,50,52,50,31,800,1516,2419,2841
1779386813,1662,57,61,63,70,68,51,52,52,31,800,1708,2419,2841
1779386814,1663,57,60,61,70,68,48,52,50,31,800,1804,2419,2841
1779386815,1665,59,61,62,71,70,52,53,52,31,800,1804,2419,2841
1779386817,1666,61,64,64,72,70,54,54,52,31,800,1804,2419,2841
1779386818,1667,62,64,66,65,68,50,53,52,31,800,1171,2419,2841
1779386819,1668,64,66,68,67,69,52,53,53,31,800,1804,2419,2841
1779386820,1669,63,64,66,73,72,52,54,52,31,800,1804,2419,2841
1779386821,1670,62,64,65,72,71,51,54,53,31,800,1804,2419,2841
1779386822,1671,60,63,64,72,70,52,54,52,31,800,1708,2419,2841
1779386823,1672,62,64,66,73,70,52,54,52,31,800,1708,2419,2841
